1girl,單個女孩
solo,獨自
long_hair,長髮
breasts,乳房
looking_at_viewer,注視觀眾
blush,臉紅
smile,微笑
open_mouth,張開嘴巴
short_hair,短髮
blue_eyes,藍色眼睛
simple_background,簡單背景
shirt,襯衫
large_breasts,大胸部
skirt,裙子
blonde_hair,金髮
multiple_girls,多個女孩
brown_hair,棕色頭髮
black_hair,黑髮
long_sleeves,長袖
hair_ornament,發飾
white_background,白色背景
1boy,單個男孩
gloves,手套
red_eyes,紅色眼睛
dress,連衣裙
thighhighs,大腿襪
hat,帽子
holding,握物
bow,蝴蝶結
navel,肚臍
animal_ears,動物耳朵
ribbon,絲帶
hair_between_eyes,眉心劉海
closed_mouth,閉嘴
2girls,兩個女孩
cleavage,乳溝
jewelry,首飾
bare_shoulders,露肩
very_long_hair,超長頭髮
sitting,坐著
twintails,雙馬尾
medium_breasts,中等胸部
brown_eyes,棕色眼睛
standing,站立
nipples,乳頭
green_eyes,綠眼睛
underwear,內衣
blue_hair,藍色頭髮
jacket,夾克
school_uniform,校服
purple_eyes,紫色眼睛
collarbone,鎖骨
tail,尾巴
white_shirt,白色襯衫
full_body,全身
upper_body,上半身
panties,內褲
closed_eyes,閉著眼睛
yellow_eyes,黃色眼睛
swimsuit,泳衣
white_hair,白髮
pink_hair,粉色頭髮
monochrome,單色
grey_hair,灰色頭髮
ahoge,阿呆毛
braid,辮子
hair_ribbon,發帶絲帶
purple_hair,紫色頭髮
male_focus,男性集中
ponytail,馬尾辮
ass,臀部
flower,花
weapon,武器
multicolored_hair,多色頭髮
short_sleeves,短袖
sidelocks,鬢髮
comic,漫畫
hetero,異性戀
heart,愛心
thighs,大腿
:d,:d
hair_bow,發飾蝴蝶結
pantyhose,連褲襪
outdoors,戶外
cowboy_shot,牛仔鏡頭
earrings,耳環
greyscale,灰度
bikini,比基尼
sweat,汗水
red_hair,紅發
nude,裸體
pleated_skirt,百褶裙
small_breasts,小胸部
frills,褶邊
hairband,髮夾
parted_lips,微開的嘴唇
censored,被審查
boots,靴子
open_clothes,敞衣
lying,躺下
horns,角
teeth,牙齒
multiple_boys,多個男孩
wings,翅膀
food,食物
necktie,領帶
one_eye_closed,閉一隻眼
detached_sleeves,分離袖子
sky,天空
penis,陰莖
shorts,短褲
green_hair,綠色頭髮
japanese_clothes,日本服裝
shoes,鞋子
sleeveless,無袖
black_gloves,黑色手套
alternate_costume,替換服裝
collared_shirt,翻領襯衫
choker,項圈
barefoot,赤腳
pussy,陰部
socks,襪子
glasses,眼鏡
tongue,舌頭
pointy_ears,尖耳
solo_focus,單人主角
pants,褲子
day,白天
virtual_youtuber,虛擬主播
serafuku,水手服
indoors,室內
puffy_sleeves,泡泡袖
artist_name,藝術家姓名
hairclip,髮夾
medium_hair,中等頭髮
belt,腰帶
fang,單顆獠牙
black_thighhighs,黑色過膝襪
hand_up,舉起手
elbow_gloves,長手套
midriff,露腰
looking_back,回頭看
cloud,雲
white_gloves,白手套
signature,簽名
bowtie,蝴蝶結
hood,兜帽
sword,劍
black_skirt,黑色短裙
dark_skin,深色皮膚
2boys,兩個男孩
cat_ears,貓耳
blunt_bangs,平劉海
hair_flower,頭髮上的花
official_alternate_costume,官方替換服裝
tongue_out,吐舌頭
sex,性交
spread_legs,展開雙腿
pink_eyes,粉色眼睛
sailor_collar,水手領
wide_sleeves,寬袖子
miniskirt,迷你裙
stomach,腹部
fingerless_gloves,露指手套
cum,精液
on_back,仰臥
tears,眼淚
black_footwear,黑色鞋類
grey_background,灰色背景
3girls,三個女孩
armpits,腋下
twitter_username,Twitter用戶名
kimono,和服
white_dress,白色連衣裙
holding_weapon,持武器
off_shoulder,露肩
necklace,項鍊
